"timestamp","data"
"1637923206270","{""temperature"":{""N"":""88.5""}}"
"1637922781886","{""temperature"":{""N"":""55.5""}}"
"1637923018109","{""temperature"":{""N"":""82.25""}}"
"1637923010108","{""temperature"":{""N"":""82.25""}}"
"1637923338390","{""temperature"":{""N"":""80.25""}}"
"1637922705825","{""temperature"":{""N"":""28.5""}}"
"1637922877972","{""temperature"":{""N"":""69.75""}}"
"1637923078169","{""temperature"":{""N"":""95""}}"
"1637923090169","{""temperature"":{""N"":""96.75""}}"
"1637922737864","{""temperature"":{""N"":""45""}}"
"1637923046130","{""temperature"":{""N"":""92.25""}}"
"1637923386439","{""temperature"":{""N"":""81.25""}}"
"1637923134209","{""temperature"":{""N"":""94.5""}}"
"1637923242310","{""temperature"":{""N"":""82.5""}}"
"1637923150234","{""temperature"":{""N"":""94""}}"
"1637922861944","{""temperature"":{""N"":""69.75""}}"
"1637923554597","{""temperature"":{""N"":""120.75""}}"
"1637922938030","{""temperature"":{""N"":""77""}}"
"1637922998090","{""temperature"":{""N"":""81.25""}}"
"1637923118238","{""temperature"":{""N"":""97.75""}}"
"1637923226325","{""temperature"":{""N"":""84""}}"
"1637922773865","{""temperature"":{""N"":""56.5""}}"
"1637923274356","{""temperature"":{""N"":""80.75""}}"
"1637923042129","{""temperature"":{""N"":""90.5""}}"
"1637923114198","{""temperature"":{""N"":""98.25""}}"
"1637922866162","{""temperature"":{""N"":""71""}}"
"1637922685804","{""temperature"":{""N"":""22.5""}}"
"1637923282358","{""temperature"":{""N"":""80""}}"
"1637922741864","{""temperature"":{""N"":""46.5""}}"
"1637923502556","{""temperature"":{""N"":""171.25""}}"
"1637923458508","{""temperature"":{""N"":""118.25""}}"
"1637923366409","{""temperature"":{""N"":""82.5""}}"
"1637923066230","{""temperature"":{""N"":""94""}}"
"1637923026109","{""temperature"":{""N"":""83.25""}}"
"1637922697825","{""temperature"":{""N"":""25.75""}}"
"1637922970088","{""temperature"":{""N"":""79.75""}}"
"1637922849947","{""temperature"":{""N"":""64.75""}}"
"1637922677785","{""temperature"":{""N"":""22.25""}}"
"1637923478509","{""temperature"":{""N"":""149.25""}}"
"1637922901987","{""temperature"":{""N"":""74""}}"
"1637923550590","{""temperature"":{""N"":""133""}}"
"1637922749855","{""temperature"":{""N"":""50""}}"
"1637923270382","{""temperature"":{""N"":""80.5""}}"
"1637923406478","{""temperature"":{""N"":""85.25""}}"
"1637923382430","{""temperature"":{""N"":""82.25""}}"
"1637923126188","{""temperature"":{""N"":""95.75""}}"
"1637923442473","{""temperature"":{""N"":""95.75""}}"
"1637922958049","{""temperature"":{""N"":""77.25""}}"
"1637922909985","{""temperature"":{""N"":""75.25""}}"
"1637922934029","{""temperature"":{""N"":""76.75""}}"
"1637923162229","{""temperature"":{""N"":""90.5""}}"
"1637923050150","{""temperature"":{""N"":""93.25""}}"
"1637923450489","{""temperature"":{""N"":""104""}}"
"1637923314389","{""temperature"":{""N"":""79.75""}}"
"1637923534547","{""temperature"":{""N"":""179.5""}}"
"1637923250310","{""temperature"":{""N"":""81.5""}}"
"1637922845946","{""temperature"":{""N"":""64.75""}}"
"1637922841929","{""temperature"":{""N"":""64.25""}}"
"1637922765871","{""temperature"":{""N"":""56.5""}}"
"1637923454502","{""temperature"":{""N"":""110.25""}}"
"1637923214269","{""temperature"":{""N"":""86.5""}}"
"1637922954056","{""temperature"":{""N"":""77.25""}}"
"1637922717825","{""temperature"":{""N"":""35.5""}}"
"1637922809905","{""temperature"":{""N"":""59.25""}}"
"1637923222275","{""temperature"":{""N"":""83.75""}}"
"1637923218284","{""temperature"":{""N"":""84""}}"
"1637923106189","{""temperature"":{""N"":""98.75""}}"
"1637923070153","{""temperature"":{""N"":""94.5""}}"
"1637922793905","{""temperature"":{""N"":""56""}}"
"1637922729844","{""temperature"":{""N"":""41""}}"
"1637923238311","{""temperature"":{""N"":""83.5""}}"
"1637923546588","{""temperature"":{""N"":""148""}}"
"1637923494622","{""temperature"":{""N"":""165.75""}}"
"1637922825926","{""temperature"":{""N"":""60.25""}}"
"1637922789905","{""temperature"":{""N"":""56.25""}}"
"1637923530557","{""temperature"":{""N"":""177.25""}}"
"1637922709853","{""temperature"":{""N"":""31.25""}}"
"1637922757865","{""temperature"":{""N"":""53.5""}}"
"1637923398461","{""temperature"":{""N"":""84""}}"
"1637923186280","{""temperature"":{""N"":""90""}}"
"1637923286350","{""temperature"":{""N"":""80.5""}}"
"1637923542574","{""temperature"":{""N"":""164.5""}}"
"1637923430469","{""temperature"":{""N"":""85.75""}}"
"1637923094191","{""temperature"":{""N"":""96.75""}}"
"1637923466508","{""temperature"":{""N"":""134.75""}}"
"1637923418489","{""temperature"":{""N"":""86.25""}}"
"1637922853945","{""temperature"":{""N"":""68""}}"
"1637923014115","{""temperature"":{""N"":""82""}}"
"1637922942030","{""temperature"":{""N"":""77.25""}}"
"1637923474508","{""temperature"":{""N"":""143""}}"
"1637923410473","{""temperature"":{""N"":""86""}}"
"1637922797905","{""temperature"":{""N"":""57""}}"
"1637923002091","{""temperature"":{""N"":""82.25""}}"
"1637923034109","{""temperature"":{""N"":""86""}}"
"1637922869972","{""temperature"":{""N"":""70""}}"
"1637922805904","{""temperature"":{""N"":""57.5""}}"
"1637923130208","{""temperature"":{""N"":""95.25""}}"
"1637922897985","{""temperature"":{""N"":""74""}}"
"1637922889984","{""temperature"":{""N"":""72""}}"
"1637922873955","{""temperature"":{""N"":""70.25""}}"
"1637922930004","{""temperature"":{""N"":""77.25""}}"
"1637922733887","{""temperature"":{""N"":""42.25""}}"
"1637923102189","{""temperature"":{""N"":""99""}}"
"1637922753849","{""temperature"":{""N"":""52.5""}}"
"1637922777885","{""temperature"":{""N"":""56""}}"
"1637923438482","{""temperature"":{""N"":""92.5""}}"
"1637923362438","{""temperature"":{""N"":""82.5""}}"
