"timestamp","data"
"1637925982636","{""temperature"":{""N"":""96""}}"
"1637925293996","{""temperature"":{""N"":""97.5""}}"
"1637926899379","{""temperature"":{""N"":""108.25""}}"
"1637926731246","{""temperature"":{""N"":""105.25""}}"
"1637925077772","{""temperature"":{""N"":""94""}}"
"1637927760157","{""temperature"":{""N"":""113""}}"
"1637924226380","{""temperature"":{""N"":""56.25""}}"
"1637927612028","{""temperature"":{""N"":""113.25""}}"
"1637924565324","{""temperature"":{""N"":""97.75""}}"
"1637927347805","{""temperature"":{""N"":""113.25""}}"
"1637927199641","{""temperature"":{""N"":""110""}}"
"1637925285997","{""temperature"":{""N"":""98""}}"
"1637926527064","{""temperature"":{""N"":""104.75""}}"
"1637924625431","{""temperature"":{""N"":""100.25""}}"
"1637925794425","{""temperature"":{""N"":""98.5""}}"
"1637927728116","{""temperature"":{""N"":""113""}}"
"1637927043524","{""temperature"":{""N"":""108.75""}}"
"1637927559993","{""temperature"":{""N"":""113.75""}}"
"1637925934547","{""temperature"":{""N"":""100.25""}}"
"1637926274844","{""temperature"":{""N"":""104.75""}}"
"1637926599124","{""temperature"":{""N"":""104.75""}}"
"1637927023505","{""temperature"":{""N"":""106.25""}}"
"1637924765503","{""temperature"":{""N"":""101.75""}}"
"1637926170776","{""temperature"":{""N"":""103.5""}}"
"1637926242845","{""temperature"":{""N"":""101""}}"
"1637925758474","{""temperature"":{""N"":""100""}}"
"1637926106704","{""temperature"":{""N"":""101.5""}}"
"1637924442504","{""temperature"":{""N"":""92.75""}}"
"1637924753508","{""temperature"":{""N"":""103""}}"
"1637926082691","{""temperature"":{""N"":""99.5""}}"
"1637924318403","{""temperature"":{""N"":""78.75""}}"
"1637927395844","{""temperature"":{""N"":""116.75""}}"
"1637924298392","{""temperature"":{""N"":""74.75""}}"
"1637924749505","{""temperature"":{""N"":""101.5""}}"
"1637924314425","{""temperature"":{""N"":""78.25""}}"
"1637926563107","{""temperature"":{""N"":""104.5""}}"
"1637924861585","{""temperature"":{""N"":""99.25""}}"
"1637924242343","{""temperature"":{""N"":""60.75""}}"
"1637925097804","{""temperature"":{""N"":""92.75""}}"
"1637927812223","{""temperature"":{""N"":""114""}}"
"1637927764156","{""temperature"":{""N"":""113.5""}}"
"1637925558224","{""temperature"":{""N"":""96.25""}}"
"1637925029751","{""temperature"":{""N"":""95""}}"
"1637926875366","{""temperature"":{""N"":""105.5""}}"
"1637927223690","{""temperature"":{""N"":""111.25""}}"
"1637927087566","{""temperature"":{""N"":""111.75""}}"
"1637926523066","{""temperature"":{""N"":""105""}}"
"1637924170315","{""temperature"":{""N"":""38.5""}}"
"1637926507044","{""temperature"":{""N"":""103.75""}}"
"1637924466544","{""temperature"":{""N"":""94.25""}}"
"1637925249943","{""temperature"":{""N"":""92""}}"
"1637924370466","{""temperature"":{""N"":""85.75""}}"
"1637927375806","{""temperature"":{""N"":""114.5""}}"
"1637927135607","{""temperature"":{""N"":""113""}}"
"1637925334034","{""temperature"":{""N"":""99""}}"
"1637924521285","{""temperature"":{""N"":""98""}}"
"1637925482154","{""temperature"":{""N"":""85""}}"
"1637926751265","{""temperature"":{""N"":""104.75""}}"
"1637926747265","{""temperature"":{""N"":""104.25""}}"
"1637927303760","{""temperature"":{""N"":""114.5""}}"
